key,item
 6263- 1073- 1,908
 6263- 1073- 1,698
 6263- 1073- 1,914
 6263- 1073- 1,265
 6263- 1073- 1,654
 1745- 1073- 1,1291
 1745- 1073- 1,1108
 1745- 1073- 1,99
 1745- 1073- 1,9
 1745- 1073- 1,692
 8943- 1073- 1,1409
 8943- 1073- 1,1559
 8943- 1073- 1,696
 8943- 1073- 1,900
 8943- 1073- 1,1116
 8943- 1073- 1,467
 8943- 1073- 1,856
 8943- 1073- 1,833
 9374- 1073- 1,88
 9374- 1073- 1,410
 9374- 1073- 1,587
 9374- 1073- 1,470
 826- 1073- 1,27
 7021- 1073- 1,1423
 7021- 1073- 1,348
 7021- 1073- 1,44
 7021- 1073- 1,127
 7021- 1073- 1,1436
 7021- 1073- 1,627
 7021- 1073- 1,1205
 2814- 1073- 1,789
 2814- 1073- 1,672
 2814- 1073- 1,1022
 2814- 1073- 1,1531
 3277- 1073- 1,27
 3277- 1073- 1,1375
 3277- 1073- 1,33
 2094- 1073- 1,536
 2094- 1073- 1,260
 2094- 1073- 1,676
 2094- 1073- 1,986
 2094- 1073- 1,470
 8294- 1073- 1,54
 8294- 1073- 1,149
 8294- 1073- 1,592
 8294- 1073- 1,1235
 8294- 1073- 1,1279
 8294- 1073- 1,4
 8294- 1073- 1,299
 4362- 1073- 1,324
 4362- 1073- 1,461
 4362- 1073- 1,877
 4362- 1073- 1,1187
 4362- 1073- 1,258
 4362- 1073- 1,661
 10113- 1073- 1,1447
 10113- 1073- 1,598
 10113- 1073- 1,442
 10113- 1073- 1,1324
 10113- 1073- 1,1380
 10113- 1073- 1,798
 1396- 1073- 1,914
 6339- 1073- 1,459
 6339- 1073- 1,1274
 6339- 1073- 1,1530
 9374- 1073- 1,1289
 9374- 1073- 1,1465
 9374- 1073- 1,1349
 9374- 1073- 1,140
 9374- 1073- 1,650
 1823- 1073- 1,766
 1823- 1073- 1,743
 1823- 1073- 1,1226
 1823- 1073- 1,922
 1823- 1073- 1,1006
 1823- 1073- 1,756
 1823- 1073- 1,1505
 1823- 1073- 1,816
 7976- 1073- 1,1269
 7976- 1073- 1,354
 7976- 1073- 1,398
 7976- 1073- 1,680
 7976- 1073- 1,1390
 7976- 1073- 1,820
 7976- 1073- 1,144
 8491- 1073- 1,1554
 8491- 1073- 1,306
 8491- 1073- 1,1348
 8491- 1073- 1,1338
 8491- 1073- 1,955
 8491- 1073- 1,545
 9954- 1073- 1,1022
 9954- 1073- 1,346
 9954- 1073- 1,816
 9954- 1073- 1,1377
 9954- 1073- 1,422
 9954- 1073- 1,999
 634- 1073- 1,586
 634- 1073- 1,896
 1560- 1073- 1,1121
 1560- 1073- 1,1243
 1560- 1073- 1,461
 1560- 1073- 1,1250
 1560- 1073- 1,29
 1560- 1073- 1,1403
 1560- 1073- 1,395
 1560- 1073- 1,305
 5065- 1073- 1,289
 5065- 1073- 1,1134
 5065- 1073- 1,32
 8925- 1073- 1,947
 8925- 1073- 1,1324
 8925- 1073- 1,608
 8925- 1073- 1,1197
 5652- 1073- 1,783
 5652- 1073- 1,1066
 5652- 1073- 1,217
 5652- 1073- 1,61
 1805- 1073- 1,643
 1805- 1073- 1,340
 9049- 1073- 1,257
 9049- 1073- 1,673
 9049- 1073- 1,983
 9585- 1073- 1,406
 9585- 1073- 1,223
 9585- 1073- 1,773
 8649- 1073- 1,1119
 8649- 1073- 1,31
 462- 1073- 1,614
 462- 1073- 1,404
 462- 1073- 1,620
 462- 1073- 1,1529
 462- 1073- 1,774
 462- 1073- 1,337
 7098- 1073- 1,362
 7098- 1073- 1,1138
 1371- 1073- 1,349
 1371- 1073- 1,445
 1371- 1073- 1,888
 1371- 1073- 1,1531
 1371- 1073- 1,17
 1371- 1073- 1,300
 1371- 1073- 1,595
 1371- 1073- 1,439
 3032- 1073- 1,1345
 3032- 1073- 1,962
 3032- 1073- 1,553
 3032- 1073- 1,1368
 3032- 1073- 1,480
 6076- 1073- 1,476
 6076- 1073- 1,1185
 1014- 1085- 1,1251
 1014- 1085- 1,1201
 1014- 1085- 1,1351
 1014- 1085- 1,488
 1014- 1085- 1,692
 1014- 1085- 1,908
 1014- 1085- 1,259
 1882- 1085- 1,1045
 1882- 1085- 1,1382
 6563- 1085- 1,7
 6563- 1085- 1,236
 6563- 1085- 1,279
 6563- 1085- 1,562
 6563- 1085- 1,1271
 6563- 1085- 1,1115
 3713- 1085- 1,1313
 3713- 1085- 1,970
 680- 1085- 1,451
 680- 1085- 1,828
 3168- 1085- 1,1543
 6048- 1085- 1,1420
 6048- 1085- 1,1450
 6048- 1085- 1,534
 6048- 1085- 1,578
 6048- 1085- 1,861
 6631- 1085- 1,1485
 6631- 1085- 1,1235
 6631- 1085- 1,426
 6631- 1085- 1,1296
 6631- 1085- 1,659
 6631- 1085- 1,183
 6631- 1085- 1,54
 8176- 1085- 1,1208
 8176- 1085- 1,93
 8176- 1085- 1,736
 8176- 1085- 1,780
 8176- 1085- 1,1063
 8176- 1085- 1,1358
 9432- 1085- 1,773
 9432- 1085- 1,230
 9432- 1085- 1,301
 9432- 1085- 1,916
 9432- 1085- 1,213
 9432- 1085- 1,351
 9432- 1085- 1,767
 7213- 1085- 1,99
 7213- 1085- 1,1501
 7213- 1085- 1,825
 7213- 1085- 1,881
 7213- 1085- 1,299
 1371- 1085- 1,975
 1371- 1085- 1,432
 1371- 1085- 1,502
 1371- 1085- 1,1118
 1371- 1085- 1,415
 1371- 1085- 1,552
 1371- 1085- 1,968
 1371- 1085- 1,864
 9432- 1085- 1,1078
 9432- 1085- 1,96
 9432- 1085- 1,339
 9432- 1085- 1,23
 9432- 1085- 1,972
 6631- 1085- 1,728
 6631- 1085- 1,853
 6631- 1085- 1,1163
 6631- 1085- 1,647
 6631- 1085- 1,637
 6631- 1085- 1,254
 9374- 1085- 1,891
 9374- 1085- 1,321
 1823- 1085- 1,997
 1823- 1085- 1,1146
 1823- 1085- 1,697
 1823- 1085- 1,487
 1823- 1085- 1,703
 1823- 1085- 1,54
 4607- 1085- 1,1133
 4607- 1085- 1,711
 4607- 1085- 1,834
 4607- 1085- 1,52
 3138- 1085- 1,235
 3138- 1085- 1,705
 3138- 1085- 1,1267
 3138- 1085- 1,312
 3138- 1085- 1,888
 1260- 1085- 1,1179
 1260- 1085- 1,237
 1260- 1085- 1,1092
 1260- 1085- 1,1229
 1260- 1085- 1,87
 1260- 1085- 1,397
 4020- 1085- 1,646
 5852- 1085- 1,7
 5852- 1085- 1,610
 5852- 1085- 1,773
 5852- 1085- 1,1016
 622- 1085- 1,1160
 622- 1085- 1,683
 622- 1085- 1,140
 622- 1085- 1,211
 622- 1085- 1,827
 622- 1085- 1,124
 622- 1085- 1,261
 5852- 1085- 1,858
 5852- 1085- 1,9
 5852- 1085- 1,1411
 5852- 1085- 1,735
 9887- 1085- 1,132
 9887- 1085- 1,215
 9887- 1085- 1,1524
 2434- 1085- 1,1428
 2434- 1085- 1,685
 2434- 1085- 1,941
 2434- 1085- 1,1318
 2434- 1085- 1,602
 2434- 1085- 1,1191
 2434- 1085- 1,569
 9954- 1085- 1,755
 9954- 1085- 1,705
 9954- 1085- 1,855
 9954- 1085- 1,406
 462- 1085- 1,1055
 462- 1085- 1,1365
 462- 1085- 1,558
 462- 1085- 1,547
 9374- 1085- 1,1290
 9374- 1085- 1,1467
 9374- 1085- 1,1350
 2094- 1085- 1,1280
 2152- 1085- 1,398
 2152- 1085- 1,614
 2152- 1085- 1,1523
 2152- 1085- 1,354
 8039- 1085- 1,755
 8039- 1085- 1,345
 8039- 1085- 1,1160
 8039- 1085- 1,272
 8039- 1085- 1,235
 8039- 1085- 1,1077
 1948- 1085- 1,222
 1948- 1085- 1,384
 1948- 1085- 1,628
 1948- 1085- 1,312
 1948- 1085- 1,1260
 1948- 1085- 1,1530
 680- 1085- 1,542
 680- 1085- 1,644
 680- 1085- 1,1459
 680- 1085- 1,157
 680- 1085- 1,533
 680- 1085- 1,1376
 680- 1085- 1,407
 3192- 1085- 1,1124
 3192- 1085- 1,1141
 3192- 1085- 1,1091
 3192- 1085- 1,1241
 3192- 1085- 1,791
 3192- 1085- 1,995
 3192- 1085- 1,1211
 8649- 1085- 1,146
 8649- 1085- 1,1348
 8649- 1085- 1,1271
 8649- 1085- 1,1088
 8649- 1085- 1,79
 8649- 1085- 1,1548
 8649- 1085- 1,672
 6339- 1085- 1,1296
 6339- 1085- 1,1406
 6339- 1085- 1,1489
 6339- 1085- 1,1240
 6339- 1085- 1,431
 1447- 1085- 1,348
 1447- 1085- 1,1550
 1447- 1085- 1,1473
 1447- 1085- 1,1290
 1447- 1085- 1,281
 1447- 1085- 1,191
 6093- 1085- 1,1470
 6093- 1085- 1,128
 9432- 1085- 1,777
 9432- 1085- 1,235
 9432- 1085- 1,305
 9432- 1085- 1,921
 9432- 1085- 1,218
 9432- 1085- 1,355
 9432- 1085- 1,771
 7213- 1085- 1,103
 7213- 1085- 1,1505
 7213- 1085- 1,829
 7213- 1085- 1,886
 7213- 1085- 1,303
 1420- 1085- 1,979
 1420- 1085- 1,436
 1420- 1085- 1,507
 1420- 1085- 1,1123
 1420- 1085- 1,420
 1420- 1085- 1,557
 1420- 1085- 1,973
 1420- 1085- 1,869
 9432- 1085- 1,1082
 9432- 1085- 1,101
 9432- 1085- 1,344
 9432- 1085- 1,28
 9432- 1085- 1,976
 6944- 1085- 1,733
 6944- 1085- 1,1149
 6944- 1085- 1,1459
 6944- 1085- 1,943
 6944- 1085- 1,933
 6944- 1085- 1,550
 9425- 1085- 1,895
 9425- 1085- 1,325
 1882- 1085- 1,1001
 1882- 1085- 1,1151
 1882- 1085- 1,702
 1882- 1085- 1,492
 1882- 1085- 1,708
 1882- 1085- 1,59
 4878- 1085- 1,1138
 4878- 1085- 1,716
 4878- 1085- 1,838
 4878- 1085- 1,56
 3138- 1085- 1,239
 3138- 1085- 1,709
 3138- 1085- 1,1271
 3138- 1085- 1,316
 3138- 1085- 1,892
 1260- 1085- 1,1184
 1260- 1085- 1,241
 1260- 1085- 1,1096
 1260- 1085- 1,1233
 1260- 1085- 1,92
 1260- 1085- 1,401
 8039- 1079- 1,263
 8039- 1079- 1,1451
 8039- 1079- 1,175
 8039- 1079- 1,885
 8039- 1079- 1,729
 8039- 1079- 1,53
 2974- 1079- 1,1385
 2974- 1079- 1,443
 2974- 1079- 1,1298
 2974- 1079- 1,1435
 2974- 1079- 1,293
 2974- 1079- 1,189
 2974- 1079- 1,1231
 5078- 1079- 1,370
 5078- 1079- 1,426
 5078- 1079- 1,1401
 5078- 1079- 1,33
 5078- 1079- 1,609
 5078- 1079- 1,852
 6263- 1079- 1,409
 3192- 1079- 1,952
 3192- 1079- 1,237
 3192- 1079- 1,825
 3192- 1079- 1,203
 8121- 1079- 1,1082
 8121- 1079- 1,234
 8121- 1079- 1,1222
 8121- 1079- 1,546
 8121- 1079- 1,1016
 814- 1079- 1,1172
 814- 1079- 1,696
 1805- 1079- 1,947
 1805- 1079- 1,205
 1805- 1079- 1,874
 1805- 1079- 1,1251
 1805- 1079- 1,121
 1805- 1079- 1,1124
 1805- 1079- 1,88
 2974- 1079- 1,591
 2974- 1079- 1,542
 2974- 1079- 1,691
 2974- 1079- 1,242
 4905- 1079- 1,988
 4905- 1079- 1,1298
 4905- 1079- 1,368
 4905- 1079- 1,772
 1420- 1079- 1,1514
 1420- 1079- 1,1277
 1420- 1079- 1,1161
 1420- 1079- 1,1510
 4965- 1079- 1,1281
 4965- 1079- 1,418
 4965- 1079- 1,622
 4965- 1079- 1,838
 4965- 1079- 1,1456
 4965- 1079- 1,287
 9695- 1079- 1,44
 9695- 1079- 1,580
 9695- 1079- 1,1356
 9695- 1079- 1,587
 9695- 1079- 1,924
 3192- 1079- 1,245
 3192- 1079- 1,1193
 3192- 1079- 1,1050
 3192- 1079- 1,1067
 6263- 1079- 1,1516
 6263- 1079- 1,1227
 6263- 1079- 1,950
 6263- 1079- 1,1366
 6263- 1079- 1,118
 3613- 1079- 1,395
 3613- 1079- 1,744
 3613- 1079- 1,1254
 4907- 1079- 1,1252
 4907- 1079- 1,1268
 4907- 1079- 1,1218
 4907- 1079- 1,1368
 4907- 1079- 1,919
 4907- 1079- 1,709
 4907- 1079- 1,925
 9562- 1079- 1,176
 9562- 1079- 1,1378
 9562- 1079- 1,1301
 9562- 1079- 1,1118
 9562- 1079- 1,110
 6938- 1079- 1,284
 6944- 1079- 1,866
 6944- 1079- 1,1255
 6944- 1079- 1,1232
 6944- 1079- 1,157
 6944- 1079- 1,267
 6944- 1079- 1,350
 6944- 1079- 1,101
 6944- 1079- 1,849
 5430- 1079- 1,1340
 5430- 1079- 1,225
 5430- 1079- 1,868
 5430- 1079- 1,498
 5430- 1079- 1,781
 3713- 1079- 1,552
 3713- 1079- 1,302
 3713- 1079- 1,1051
 9214- 1079- 1,705
 9214- 1079- 1,961
 9214- 1079- 1,1338
 9214- 1079- 1,622
 9214- 1079- 1,1211
 9214- 1079- 1,589
 9214- 1079- 1,1311
 7098- 1079- 1,628
 7098- 1079- 1,778
 7098- 1079- 1,329
 7098- 1079- 1,532
 2476- 1079- 1,996
 2476- 1079- 1,480
 2476- 1079- 1,470
 2476- 1079- 1,87
 9984- 1079- 1,1389
 9984- 1079- 1,1273
 9984- 1079- 1,64
 9984- 1079- 1,574
 9984- 1079- 1,603
 9984- 1079- 1,1246
 1823- 1079- 1,1526
 1823- 1079- 1,837
 1823- 1079- 1,201
 1823- 1079- 1,1283
 7231- 1079- 1,376
 7231- 1079- 1,1152
 1523- 1079- 1,363
 3032- 1079- 1,453
 3032- 1079- 1,1335
 3032- 1079- 1,247
 3032- 1079- 1,808
 4350- 1079- 1,979
 4350- 1079- 1,170
 4350- 1079- 1,625
 4350- 1079- 1,403
 4350- 1079- 1,1484
 4350- 1079- 1,942
 4350- 1079- 1,1109
 5933- 1079- 1,1492
 5933- 1079- 1,577
 5933- 1079- 1,207
 5933- 1079- 1,489
 5933- 1079- 1,1199
 5933- 1079- 1,1043
 7745- 1079- 1,1240
 7745- 1079- 1,1311
 8231- 1079- 1,281
 7015- 1079- 1,385
 7015- 1079- 1,1174
 7015- 1079- 1,1511
 7015- 1079- 1,1328
 7015- 1079- 1,319
 7015- 1079- 1,1373
 1948- 1079- 1,1508
 1948- 1079- 1,166
 1948- 1079- 1,661
 1948- 1079- 1,1464
 1948- 1079- 1,1441
 1948- 1079- 1,366
 1948- 1079- 1,62
 9887- 1079- 1,406
 9887- 1079- 1,1088
 9887- 1079- 1,599
 622- 1079- 1,530
 622- 1079- 1,1106
 622- 1079- 1,1350
 1588- 1079- 1,347
 1588- 1079- 1,98
 1805- 1079- 1,907
 1805- 1079- 1,391
 1805- 1079- 1,381
 1805- 1079- 1,1556
 5430- 1079- 1,1397
 5430- 1079- 1,1280
 5430- 1079- 1,72
 5430- 1079- 1,168
 5430- 1079- 1,611
 5430- 1079- 1,1253
 680- 1079- 1,1436
 680- 1079- 1,334
 680- 1079- 1,111
 680- 1079- 1,1193
 6187- 1079- 1,286
 6187- 1079- 1,1062
 4965- 1079- 1,1418
 4965- 1079- 1,369
 4965- 1079- 1,812
 4965- 1079- 1,1455
 4965- 1079- 1,1085
 4965- 1079- 1,1368
 872- 1079- 1,313
 872- 1079- 1,1492
 872- 1079- 1,949
 3747- 1079- 1,240
 3747- 1079- 1,1176
 3747- 1079- 1,340
 3747- 1079- 1,876
 3747- 1079- 1,94
 3747- 1079- 1,883
 8397- 1079- 1,1265
 8397- 1079- 1,1215
 8397- 1079- 1,1365
 8397- 1079- 1,916
 8397- 1079- 1,1120
 8397- 1079- 1,1336
 8397- 1079- 1,273
 3168- 1079- 1,1084
 3168- 1079- 1,1007
 3168- 1079- 1,824
 3168- 1079- 1,1373
 3168- 1079- 1,1284
 3168- 1079- 1,408
 3168- 1079- 1,1477
 8106- 1074- 1,1337
 8106- 1074- 1,1420
 8106- 1074- 1,1170
 8106- 1074- 1,361
 8106- 1074- 1,1230
 8106- 1074- 1,303
 8106- 1074- 1,1384
 5833- 1074- 1,756
 5833- 1074- 1,852
 5833- 1074- 1,1295
 8294- 1074- 1,111
 7304- 1074- 1,1065
 7304- 1074- 1,1043
 7304- 1074- 1,1525
 7304- 1074- 1,77
 1002- 1074- 1,886
 1002- 1074- 1,849
 5606- 1074- 1,129
 5606- 1074- 1,812
 3032- 1074- 1,1300
 3032- 1074- 1,1144
 3032- 1074- 1,468
 3032- 1074- 1,525
 1788- 1074- 1,362
 1788- 1074- 1,113
 1948- 1074- 1,508
 1948- 1074- 1,1550
 1948- 1074- 1,395
 1948- 1074- 1,1157
 5617- 1074- 1,998
 5617- 1074- 1,882
 5617- 1074- 1,1231
 5617- 1074- 1,183
 5617- 1074- 1,626
 2152- 1074- 1,276
 2152- 1074- 1,759
 491- 1074- 1,357
 491- 1074- 1,81
 491- 1074- 1,497
 491- 1074- 1,807
 6358- 1074- 1,1189
 6358- 1074- 1,701
 6358- 1074- 1,1023
 8039- 1074- 1,1499
 8039- 1074- 1,185
 8039- 1074- 1,1426
 8039- 1074- 1,817
 8039- 1074- 1,674
 919- 1074- 1,1087
 919- 1074- 1,1397
 919- 1074- 1,881
 919- 1074- 1,871
 2275- 1074- 1,55
 2275- 1074- 1,232
 2275- 1074- 1,115
 2275- 1074- 1,465
 2275- 1074- 1,561
 7021- 1074- 1,386
 7021- 1074- 1,363
 7021- 1074- 1,846
 7021- 1074- 1,956
 7021- 1074- 1,1039
 7021- 1074- 1,789
 7021- 1074- 1,1538
 7021- 1074- 1,436
 3671- 1074- 1,1302
 3671- 1074- 1,387
 3671- 1074- 1,17
 3671- 1074- 1,300
 3671- 1074- 1,1009
 10114- 1074- 1,1379
 7588- 1074- 1,470
 7588- 1074- 1,1325
 7588- 1074- 1,1463
 7588- 1074- 1,321
 7588- 1074- 1,217
 7588- 1074- 1,1259
 7588- 1074- 1,104
 1882- 1074- 1,417
 1882- 1074- 1,1392
 1882- 1074- 1,24
 4429- 1074- 1,61
 4429- 1074- 1,1315
 4429- 1074- 1,1399
 4429- 1074- 1,1149
 4429- 1074- 1,340
 4429- 1074- 1,1209
 6631- 1074- 1,198
 6631- 1074- 1,880
 8315- 1074- 1,225
 8315- 1074- 1,1213
 8315- 1074- 1,537
 8315- 1074- 1,1007
 8315- 1074- 1,424
 8315- 1074- 1,614
 5933- 1074- 1,1531
 5933- 1074- 1,389
 1371- 1074- 1,79
 1371- 1074- 1,1215
 1371- 1074- 1,1338
 1371- 1074- 1,555
 1371- 1074- 1,200
 1371- 1074- 1,123
 7098- 1074- 1,630
 7098- 1074- 1,779
 7098- 1074- 1,330
 7098- 1074- 1,120
 2622- 1074- 1,998
 2622- 1074- 1,68
 2622- 1074- 1,471
 2622- 1074- 1,89
 5430- 1074- 1,977
 5430- 1074- 1,860
 5430- 1074- 1,1210
 5430- 1074- 1,162
 5430- 1074- 1,605
 5430- 1074- 1,1247
 1823- 1074- 1,1527
 1823- 1074- 1,425
 1823- 1074- 1,202
 1823- 1074- 1,1284
 1014- 1074- 1,668
 1014- 1074- 1,1444
 340- 1074- 1,242
 340- 1074- 1,752
 340- 1074- 1,1195
 340- 1074- 1,1424
 340- 1074- 1,1467
 340- 1074- 1,192
 340- 1074- 1,901
 340- 1074- 1,745
 8294- 1074- 1,849
 8294- 1074- 1,467
 8294- 1074- 1,471
 8294- 1074- 1,1286
 8294- 1074- 1,1542
 1745- 1074- 1,491
 1745- 1074- 1,1200
 9574- 1074- 1,1356
 9574- 1074- 1,1306
 9574- 1074- 1,1456
 9574- 1074- 1,1007
 9574- 1074- 1,797
 9574- 1074- 1,1013
 9574- 1074- 1,364
 8121- 1074- 1,1175
 8121- 1074- 1,1098
 8121- 1074- 1,915
 8121- 1074- 1,1464
 8121- 1074- 1,1375
 8121- 1074- 1,499
 8121- 1074- 1,1154
 8121- 1074- 1,333
 6027- 1074- 1,782
 6027- 1074- 1,306
 6027- 1074- 1,1321
 6027- 1074- 1,1391
 6027- 1074- 1,449
 6027- 1074- 1,1304
 7270- 1074- 1,919
