"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Magazines","Side Dishes","Candy","Pain Relievers","Frozen Desserts","Bread","","","","","","","","","","","",""
"Bathroom Products","","","","","","","","","","","","","","","","",""
"Baking Goods","Jams and Jellies","Magazines","Dairy","Breakfast Foods","Hot Beverages","Snack Foods","","","","","","","","","","",""
"Canned Soup","Meat","Specialty","Cleaning Supplies","","","","","","","","","","","","","",""
"Bread","","","","","","","","","","","","","","","","",""
"Dairy","Bread","Canned Soup","","","","","","","","","","","","","","",""
"Frozen Entrees","Meat","","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Beer and Wine","","","","","","","","","","","","","","",""
"Meat","Miscellaneous","Pizza","Dairy","Beer and Wine","","","","","","","","","","","","",""
"Breakfast Foods","Bread","Canned Soup","Dairy","Miscellaneous","Fruit","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Meat","Vegetables","Frozen Desserts","Dairy","Paper Products","","","","","","","","","","","","",""
"Candy","Beer and Wine","Pain Relievers","Paper Products","","","","","","","","","","","","","",""
"Bread","Baking Goods","Canned Soup","Cold Remedies","","","","","","","","","","","","","",""
"Breakfast Foods","Plastic Products","Vegetables","","","","","","","","","","","","","","",""
"Pizza","Frozen Desserts","","","","","","","","","","","","","","","",""
"Breakfast Foods","Electrical","Fruit","Jams and Jellies","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Hardware","Jams and Jellies","Baking Goods","Carbonated Beverages","Bread","","","","","","","","","","",""
"Vegetables","Frozen Desserts","Magazines","Meat","Beer and Wine","Eggs","Snack Foods","Breakfast Foods","","","","","","","","","",""
"Hardware","Fruit","Carbonated Beverages","Breakfast Foods","","","","","","","","","","","","","",""
"Bathroom Products","Canned Soup","Baking Goods","Jams and Jellies","Pizza","","","","","","","","","","","","",""
"Cold Remedies","Drinks","Beer and Wine","Fruit","Specialty","Side Dishes","","","","","","","","","","","",""
"Bread","Vegetables","","","","","","","","","","","","","","","",""
"Dairy","Fruit","Vegetables","Meat","","","","","","","","","","","","","",""
"Vegetables","Paper Products","Hot Beverages","Snack Foods","","","","","","","","","","","","","",""
"Frozen Desserts","Baking Goods","Canned Tuna","","","","","","","","","","","","","","",""
"Eggs","Candy","Paper Products","Vegetables","Bread","","","","","","","","","","","","",""
"Vegetables","Cleaning Supplies","Pure Juice Beverages","Beer and Wine","Electrical","Canned Soup","Dairy","","","","","","","","","","",""
"Cleaning Supplies","Snack Foods","Meat","","","","","","","","","","","","","","",""
"Cleaning Supplies","Specialty","","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Dairy","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Electrical","Bathroom Products","Fruit","","","","","","","","","","","","",""
"Paper Products","Baking Goods","Meat","","","","","","","","","","","","","","",""
"Canned Sardines","Canned Soup","Dairy","Vegetables","","","","","","","","","","","","","",""
"Meat","Baking Goods","Dairy","","","","","","","","","","","","","","",""
"Fruit","Pizza","Cleaning Supplies","Kitchen Products","Candy","Snack Foods","Vegetables","","","","","","","","","","",""
"Electrical","Meat","Baking Goods","","","","","","","","","","","","","","",""
"Vegetables","Canned Clams","","","","","","","","","","","","","","","",""
"Jams and Jellies","Pure Juice Beverages","Beer and Wine","Hot Beverages","Snack Foods","Eggs","Candy","Dairy","Cold Remedies","Bread","","","","","","","",""
"Electrical","Meat","Hot Beverages","Specialty","Beer and Wine","Snack Foods","Canned Clams","Jams and Jellies","","","","","","","","","",""
"Dairy","Bathroom Products","Pure Juice Beverages","Snack Foods","Vegetables","Bread","Candy","Hygiene","","","","","","","","","",""
"Dairy","Seafood","Frozen Desserts","","","","","","","","","","","","","","",""
"Eggs","Frozen Desserts","Electrical","","","","","","","","","","","","","","",""
"Breakfast Foods","Dairy","Hot Beverages","Vegetables","","","","","","","","","","","","","",""
"Paper Products","Frozen Entrees","Vegetables","Canned Soup","Canned Clams","Fruit","Beer and Wine","Dairy","Drinks","Carbonated Beverages","","","","","","","",""
"Breakfast Foods","Snack Foods","Meat","Bathroom Products","Canned Soup","Frozen Entrees","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Meat","","","","","","","","","","","","","","",""
"Paper Products","Kitchen Products","Vegetables","","","","","","","","","","","","","","",""
"Pizza","Magazines","Snack Foods","Cleaning Supplies","","","","","","","","","","","","","",""
"Vegetables","Fruit","Meat","Candy","","","","","","","","","","","","","",""
"Starchy Foods","Bread","Snack Foods","","","","","","","","","","","","","","",""
"Bread","Paper Products","Hygiene","Frozen Desserts","Bathroom Products","Magazines","","","","","","","","","","","",""
"Paper Products","","","","","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","","","","","","","","","","","","","","","",""
"Fruit","Drinks","Snack Foods","Vegetables","Beer and Wine","","","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Candy","Bread","Frozen Desserts","Vegetables","Snack Foods","Jams and Jellies","Canned Soup","Pain Relievers","Carbonated Beverages","Dairy","Meat","","","","","","",""
"Vegetables","Starchy Foods","Breakfast Foods","Cleaning Supplies","Bread","Meat","Fruit","","","","","","","","","","",""
"Frozen Desserts","Jams and Jellies","Bathroom Products","","","","","","","","","","","","","","",""
"Baking Goods","Snack Foods","Frozen Desserts","Candy","Electrical","Dairy","","","","","","","","","","","",""
"Plastic Products","Beer and Wine","Bread","","","","","","","","","","","","","","",""
"Plastic Products","Meat","Dairy","Eggs","Snack Foods","","","","","","","","","","","","",""
"Snack Foods","Dairy","","","","","","","","","","","","","","","",""
"Dairy","Baking Goods","Fruit","Starchy Foods","Frozen Entrees","Beer and Wine","Kitchen Products","","","","","","","","","","",""
"Paper Products","Snack Foods","Specialty","Plastic Products","","","","","","","","","","","","","",""
"Snack Foods","Meat","Side Dishes","","","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","Beer and Wine","Pain Relievers","Dairy","","","","","","","","","","","","",""
"Canned Clams","Pain Relievers","Starchy Foods","Beer and Wine","Electrical","Breakfast Foods","","","","","","","","","","","",""
"Pain Relievers","","","","","","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Meat","Snack Foods","Baking Goods","","","","","","","","","","","","",""
"Canned Shrimp","Jams and Jellies","Frozen Entrees","","","","","","","","","","","","","","",""
"Snack Foods","Baking Goods","Pizza","Bathroom Products","Bread","Meat","Plastic Products","Vegetables","Beer and Wine","","","","","","","","",""
"Frozen Desserts","Starchy Foods","Snack Foods","","","","","","","","","","","","","","",""
"Vegetables","Magazines","Hot Beverages","Pain Relievers","","","","","","","","","","","","","",""
"Dairy","Snack Foods","","","","","","","","","","","","","","","",""
"Candy","Electrical","Vegetables","Dairy","Fruit","","","","","","","","","","","","",""
"Kitchen Products","Vegetables","Cold Remedies","Fruit","Beer and Wine","Meat","Snack Foods","","","","","","","","","","",""
"Decongestants","Baking Goods","Jams and Jellies","","","","","","","","","","","","","","",""
"Meat","Fruit","Dairy","Canned Soup","","","","","","","","","","","","","",""
"Meat","Beer and Wine","Jams and Jellies","Breakfast Foods","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Eggs","Starchy Foods","Pain Relievers","Carbonated Beverages","","","","","","","","","","","",""
"Breakfast Foods","Dairy","Kitchen Products","Vegetables","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Fruit","Jams and Jellies","","","","","","","","","","","","","",""
"Paper Products","Canned Soup","Meat","Fruit","","","","","","","","","","","","","",""
"Electrical","Kitchen Products","Frozen Entrees","Meat","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Dairy","","","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Snack Foods","Specialty","Fruit","Hot Beverages","","","","","","","","","","","","","",""
"Snack Foods","Meat","Hot Beverages","Vegetables","Jams and Jellies","Breakfast Foods","Fruit","Beer and Wine","Magazines","Dairy","","","","","","","",""
"Cold Remedies","Snack Foods","Vegetables","","","","","","","","","","","","","","",""
"Pain Relievers","Plastic Products","Pure Juice Beverages","Packaged Vegetables","Snack Foods","Paper Products","Magazines","","","","","","","","","","",""
"Pizza","Fruit","Baking Goods","Snack Foods","Decongestants","","","","","","","","","","","","",""
"Carbonated Beverages","Starchy Foods","Frozen Entrees","Pizza","Frozen Desserts","Meat","Breakfast Foods","","","","","","","","","","",""
"Bread","Cold Remedies","","","","","","","","","","","","","","","",""
"Jams and Jellies","Side Dishes","","","","","","","","","","","","","","","",""
"Packaged Vegetables","Vegetables","Paper Products","Bathroom Products","Dairy","","","","","","","","","","","","",""
"Paper Products","Jams and Jellies","Cleaning Supplies","Vegetables","Snack Foods","Dairy","Frozen Entrees","","","","","","","","","","",""
"Paper Products","Pizza","Meat","Pure Juice Beverages","","","","","","","","","","","","","",""
"Breakfast Foods","Meat","Vegetables","","","","","","","","","","","","","","",""
"Vegetables","Packaged Vegetables","Snack Foods","Specialty","Fruit","Frozen Desserts","","","","","","","","","","","",""
"Fruit","Snack Foods","Canned Soup","Vegetables","Plastic Products","Pain Relievers","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","Fruit","Seafood","Magazines","","","","","","","","","","","","",""
"Frozen Entrees","Jams and Jellies","Fruit","Drinks","Kitchen Products","Pure Juice Beverages","Canned Sardines","","","","","","","","","","",""
"Hot Beverages","Carbonated Beverages","Plastic Products","Dairy","","","","","","","","","","","","","",""
"Snack Foods","Magazines","Hardware","Vegetables","","","","","","","","","","","","","",""
"Snack Foods","Fruit","Vegetables","Specialty","","","","","","","","","","","","","",""
"Dairy","Side Dishes","Bathroom Products","Pizza","","","","","","","","","","","","","",""
"Electrical","Breakfast Foods","Vegetables","Baking Goods","Meat","Bathroom Products","Candy","","","","","","","","","","",""
"Snack Foods","Candy","Jams and Jellies","Beer and Wine","","","","","","","","","","","","","",""
"Hardware","Paper Products","Jams and Jellies","Meat","Packaged Vegetables","Candy","","","","","","","","","","","",""
"Canned Clams","Vegetables","Baking Goods","Canned Tuna","Snack Foods","","","","","","","","","","","","",""
"Canned Clams","Drinks","","","","","","","","","","","","","","","",""
"Paper Products","Meat","Jams and Jellies","Frozen Entrees","","","","","","","","","","","","","",""
"Baking Goods","Candy","","","","","","","","","","","","","","","",""
"Magazines","","","","","","","","","","","","","","","","",""
"Electrical","Jams and Jellies","Hot Beverages","Paper Products","Snack Foods","Hygiene","","","","","","","","","","","",""
"Hardware","Vegetables","Specialty","Candy","Snack Foods","Jams and Jellies","","","","","","","","","","","",""
"Paper Products","Vegetables","Jams and Jellies","Hot Beverages","Carbonated Beverages","Specialty","Electrical","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Side Dishes","Snack Foods","Vegetables","Pizza","Meat","","","","","","","","","","","","",""
"Frozen Desserts","Drinks","Pain Relievers","","","","","","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Specialty","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","","","","","","","","","","","","","","","",""
"Canned Soup","","","","","","","","","","","","","","","","",""
"Electrical","Beer and Wine","Fruit","Pure Juice Beverages","Meat","Snack Foods","Specialty","Jams and Jellies","Seafood","","","","","","","","",""
"Canned Soup","Vegetables","","","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Dairy","Baking Goods","","","","","","","","","","","","","",""
"Miscellaneous","Snack Foods","Bread","Meat","Packaged Vegetables","Fruit","","","","","","","","","","","",""
"Eggs","Vegetables","Carbonated Beverages","Paper Products","","","","","","","","","","","","","",""
"Candy","Vegetables","Dairy","","","","","","","","","","","","","","",""
"Specialty","Vegetables","Bread","Eggs","Meat","Jams and Jellies","","","","","","","","","","","",""
"Pain Relievers","Meat","Snack Foods","Vegetables","Breakfast Foods","","","","","","","","","","","","",""
"Bathroom Products","Kitchen Products","","","","","","","","","","","","","","","",""
"Decongestants","Electrical","Breakfast Foods","Dairy","Cleaning Supplies","Jams and Jellies","Snack Foods","","","","","","","","","","",""
"Eggs","Hot Beverages","","","","","","","","","","","","","","","",""
"Vegetables","Pizza","Snack Foods","","","","","","","","","","","","","","",""
"Starchy Foods","Snack Foods","Breakfast Foods","Magazines","Hygiene","","","","","","","","","","","","",""
"Baking Goods","Bread","Specialty","","","","","","","","","","","","","","",""
"Snack Foods","Magazines","Breakfast Foods","","","","","","","","","","","","","","",""
"Canned Oysters","Frozen Entrees","","","","","","","","","","","","","","","",""
"Electrical","Canned Tuna","Side Dishes","Magazines","Baking Goods","Drinks","","","","","","","","","","","",""
"Vegetables","Meat","Candy","","","","","","","","","","","","","","",""
"Starchy Foods","Frozen Desserts","Beer and Wine","","","","","","","","","","","","","","",""
"Fruit","Bread","Cold Remedies","Meat","Bathroom Products","Magazines","Paper Products","Drinks","","","","","","","","","",""
"Canned Clams","Snack Foods","","","","","","","","","","","","","","","",""
"Vegetables","Carbonated Beverages","Canned Soup","Fruit","Eggs","Bathroom Products","Jams and Jellies","","","","","","","","","","",""
"Candy","Vegetables","Beer and Wine","Snack Foods","Baking Goods","Frozen Desserts","","","","","","","","","","","",""
"Pure Juice Beverages","Fruit","Electrical","Eggs","Meat","Pizza","","","","","","","","","","","",""
"Dairy","Baking Goods","Plastic Products","Breakfast Foods","","","","","","","","","","","","","",""
"Specialty","Jams and Jellies","Pain Relievers","Cleaning Supplies","Vegetables","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Meat","","","","","","","","","","","","","","",""
"Baking Goods","Vegetables","Snack Foods","","","","","","","","","","","","","","",""
"Beer and Wine","Canned Tuna","Snack Foods","Starchy Foods","Cleaning Supplies","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","","","","","","","","","","","","","","","",""
"Meat","Jams and Jellies","Bathroom Products","Snack Foods","","","","","","","","","","","","","",""
"Dairy","Vegetables","Hygiene","Beer and Wine","Seafood","","","","","","","","","","","","",""
"Plastic Products","Hygiene","Dairy","Paper Products","Vegetables","","","","","","","","","","","","",""
"Pure Juice Beverages","Dairy","","","","","","","","","","","","","","","",""
"Kitchen Products","Hygiene","Dairy","Hardware","Snack Foods","Meat","","","","","","","","","","","",""
"Candy","Cleaning Supplies","Canned Tuna","Eggs","Electrical","Vegetables","","","","","","","","","","","",""
"Vegetables","Specialty","Kitchen Products","Jams and Jellies","Magazines","Beer and Wine","Paper Products","","","","","","","","","","",""
"Specialty","Dairy","Breakfast Foods","Vegetables","","","","","","","","","","","","","",""
"Kitchen Products","Vegetables","Pain Relievers","","","","","","","","","","","","","","",""
"Dairy","Meat","Candy","Frozen Desserts","Pizza","Bread","","","","","","","","","","","",""
"Cleaning Supplies","Fruit","Snack Foods","Bathroom Products","Meat","Jams and Jellies","","","","","","","","","","","",""
"Breakfast Foods","Canned Clams","Pure Juice Beverages","Baking Goods","Hot Beverages","Meat","","","","","","","","","","","",""
"Frozen Desserts","Hot Beverages","Bathroom Products","","","","","","","","","","","","","","",""
"Electrical","Candy","Snack Foods","Vegetables","Meat","Starchy Foods","","","","","","","","","","","",""
"Vegetables","Canned Sardines","Bread","","","","","","","","","","","","","","",""
"Canned Tuna","Fruit","Jams and Jellies","Eggs","","","","","","","","","","","","","",""
"Snack Foods","Paper Products","Hygiene","","","","","","","","","","","","","","",""
"Jams and Jellies","Starchy Foods","","","","","","","","","","","","","","","",""
"Meat","Snack Foods","","","","","","","","","","","","","","","",""
"Dairy","Meat","Canned Soup","","","","","","","","","","","","","","",""
"Candy","Baking Goods","Vegetables","Drinks","Snack Foods","","","","","","","","","","","","",""
"Plastic Products","Cleaning Supplies","","","","","","","","","","","","","","","",""
"Dairy","Meat","Kitchen Products","Beer and Wine","","","","","","","","","","","","","",""
"Packaged Vegetables","Specialty","Meat","Starchy Foods","Jams and Jellies","","","","","","","","","","","","",""
"Snack Foods","Pizza","","","","","","","","","","","","","","","",""
"Hygiene","Frozen Desserts","Bathroom Products","Meat","","","","","","","","","","","","","",""
"Dairy","Bread","Canned Soup","","","","","","","","","","","","","","",""
"Pizza","Meat","","","","","","","","","","","","","","","",""
"Dairy","Canned Anchovies","Meat","Breakfast Foods","Starchy Foods","Cleaning Supplies","","","","","","","","","","","",""
"Paper Products","Vegetables","Baking Goods","Dairy","","","","","","","","","","","","","",""
"Beer and Wine","Snack Foods","Dairy","Plastic Products","Canned Soup","","","","","","","","","","","","",""
"Baking Goods","Hardware","","","","","","","","","","","","","","","",""
"Snack Foods","Electrical","Starchy Foods","Breakfast Foods","Kitchen Products","","","","","","","","","","","","",""
"Starchy Foods","","","","","","","","","","","","","","","","",""
"Jams and Jellies","","","","","","","","","","","","","","","","",""
"Vegetables","Pain Relievers","Decongestants","Snack Foods","Paper Products","Candles","","","","","","","","","","","",""
"Vegetables","Hot Beverages","","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Frozen Desserts","Beer and Wine","Meat","Kitchen Products","Seafood","","","","","","","","","","",""
"Fruit","Jams and Jellies","Vegetables","Dairy","Pizza","","","","","","","","","","","","",""
"Pain Relievers","Vegetables","Jams and Jellies","Cleaning Supplies","","","","","","","","","","","","","",""
"Meat","Starchy Foods","","","","","","","","","","","","","","","",""
"Canned Sardines","Snack Foods","Beer and Wine","Kitchen Products","Hot Beverages","Jams and Jellies","","","","","","","","","","","",""
"Meat","Vegetables","Starchy Foods","Pizza","","","","","","","","","","","","","",""
"Jams and Jellies","Miscellaneous","Breakfast Foods","Frozen Desserts","","","","","","","","","","","","","",""
"Dairy","Snack Foods","","","","","","","","","","","","","","","",""
"Canned Shrimp","Beer and Wine","Dairy","Snack Foods","","","","","","","","","","","","","",""
"Canned Clams","Snack Foods","Starchy Foods","Bread","Breakfast Foods","Jams and Jellies","Meat","Pain Relievers","","","","","","","","","",""
"Jams and Jellies","Snack Foods","Paper Products","Vegetables","Meat","Plastic Products","","","","","","","","","","","",""
"Specialty","Vegetables","","","","","","","","","","","","","","","",""
"Canned Soup","Vegetables","Starchy Foods","Snack Foods","","","","","","","","","","","","","",""
"Meat","Bread","Frozen Entrees","Bathroom Products","","","","","","","","","","","","","",""
"Cold Remedies","Breakfast Foods","","","","","","","","","","","","","","","",""
"Pain Relievers","Fruit","Vegetables","Snack Foods","Canned Shrimp","","","","","","","","","","","","",""
"Snack Foods","Magazines","Starchy Foods","Electrical","","","","","","","","","","","","","",""
"Vegetables","Paper Products","Electrical","","","","","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Carbonated Beverages","Snack Foods","Cold Remedies","Vegetables","Canned Soup","","","","","","","","","","","","",""
"Fruit","Snack Foods","Hot Beverages","Candy","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","","","","","","","","","","","","","","","",""
"Vegetables","Baking Goods","Beer and Wine","","","","","","","","","","","","","","",""
"Beer and Wine","Jams and Jellies","Hot Beverages","Paper Products","Starchy Foods","Canned Anchovies","","","","","","","","","","","",""
"Bread","Dairy","Frozen Desserts","Snack Foods","Side Dishes","Hardware","Jams and Jellies","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Carbonated Beverages","Canned Soup","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Breakfast Foods","Fruit","Specialty","Decongestants","","","","","","","","","","","","","",""
"Dairy","Baking Goods","Bathroom Products","Hot Beverages","","","","","","","","","","","","","",""
"Dairy","Breakfast Foods","Bread","Snack Foods","Magazines","Kitchen Products","Vegetables","","","","","","","","","","",""
"Hot Beverages","Dairy","Beer and Wine","Snack Foods","Canned Soup","Bathroom Products","Frozen Entrees","Fruit","Vegetables","","","","","","","","",""
"Bathroom Products","Baking Goods","Eggs","Beer and Wine","Plastic Products","","","","","","","","","","","","",""
"Jams and Jellies","Meat","Beer and Wine","Snack Foods","Cleaning Supplies","Fruit","Eggs","Breakfast Foods","","","","","","","","","",""
"Magazines","Baking Goods","","","","","","","","","","","","","","","",""
"Pizza","Pain Relievers","","","","","","","","","","","","","","","",""
"Canned Soup","Vegetables","Pain Relievers","Bathroom Products","Cold Remedies","Pizza","","","","","","","","","","","",""
"Frozen Desserts","Dairy","","","","","","","","","","","","","","","",""
"Snack Foods","Breakfast Foods","Meat","","","","","","","","","","","","","","",""
"Beer and Wine","Meat","Dairy","Baking Goods","","","","","","","","","","","","","",""
"Canned Soup","Snack Foods","Beer and Wine","Bathroom Products","Vegetables","Specialty","","","","","","","","","","","",""
"Jams and Jellies","Kitchen Products","Meat","Canned Anchovies","Breakfast Foods","","","","","","","","","","","","",""
"Cleaning Supplies","Snack Foods","Paper Products","Bathroom Products","","","","","","","","","","","","","",""
"Starchy Foods","Fruit","Jams and Jellies","Vegetables","Dairy","Frozen Entrees","","","","","","","","","","","",""
"Vegetables","Seafood","Canned Shrimp","Starchy Foods","Bread","Snack Foods","Fruit","Cleaning Supplies","Baking Goods","Hot Beverages","","","","","","","",""
"Electrical","Vegetables","Snack Foods","Pure Juice Beverages","Fruit","Bathroom Products","","","","","","","","","","","",""
"Electrical","Plastic Products","Snack Foods","Paper Products","Baking Goods","Candles","Vegetables","Bathroom Products","","","","","","","","","",""
"Pure Juice Beverages","Beer and Wine","Meat","Baking Goods","Vegetables","Eggs","","","","","","","","","","","",""
"Bathroom Products","Dairy","","","","","","","","","","","","","","","",""
"Snack Foods","Baking Goods","Starchy Foods","Fruit","Breakfast Foods","","","","","","","","","","","","",""
"Bathroom Products","Kitchen Products","Starchy Foods","Candy","","","","","","","","","","","","","",""
"Meat","Snack Foods","Decongestants","Starchy Foods","","","","","","","","","","","","","",""
"Meat","Dairy","","","","","","","","","","","","","","","",""
"Vegetables","Fruit","Canned Soup","Bathroom Products","Cold Remedies","","","","","","","","","","","","",""
"Pure Juice Beverages","Baking Goods","Meat","Snack Foods","Drinks","Kitchen Products","","","","","","","","","","","",""
"Vegetables","Hot Beverages","Dairy","Pain Relievers","Snack Foods","Eggs","Magazines","","","","","","","","","","",""
"Beer and Wine","Jams and Jellies","Packaged Vegetables","Breakfast Foods","Snack Foods","Baking Goods","","","","","","","","","","","",""
"Dairy","Canned Anchovies","Bread","Vegetables","Drinks","","","","","","","","","","","","",""
"Electrical","Vegetables","Kitchen Products","Snack Foods","Jams and Jellies","","","","","","","","","","","","",""
"Fruit","Vegetables","Meat","Pure Juice Beverages","Specialty","Snack Foods","","","","","","","","","","","",""
"Beer and Wine","Dairy","Baking Goods","Packaged Vegetables","Meat","Bathroom Products","Jams and Jellies","","","","","","","","","","",""
"Canned Oysters","Vegetables","Jams and Jellies","Fruit","Starchy Foods","Snack Foods","","","","","","","","","","","",""
"Breakfast Foods","Canned Soup","Paper Products","Vegetables","Canned Sardines","Fruit","Frozen Entrees","","","","","","","","","","",""
"Hot Beverages","Candy","Snack Foods","Beer and Wine","Jams and Jellies","","","","","","","","","","","","",""
"Breakfast Foods","Candy","Dairy","","","","","","","","","","","","","","",""
"Fruit","Snack Foods","Bread","","","","","","","","","","","","","","",""
"Dairy","Canned Soup","Specialty","Jams and Jellies","","","","","","","","","","","","","",""
"Vegetables","Electrical","","","","","","","","","","","","","","","",""
"Vegetables","Meat","Bathroom Products","","","","","","","","","","","","","","",""
"Meat","Snack Foods","Magazines","Vegetables","Plastic Products","","","","","","","","","","","","",""
"Meat","Side Dishes","Candy","Specialty","Beer and Wine","Vegetables","Cleaning Supplies","Electrical","","","","","","","","","",""
"Breakfast Foods","Jams and Jellies","Bread","Paper Products","Hygiene","Hot Beverages","","","","","","","","","","","",""
"Vegetables","Cold Remedies","Pizza","Snack Foods","Breakfast Foods","Kitchen Products","","","","","","","","","","","",""
"Specialty","Snack Foods","Candy","Jams and Jellies","Beer and Wine","Dairy","Vegetables","","","","","","","","","","",""
"Meat","Vegetables","Baking Goods","Electrical","Starchy Foods","Fruit","Canned Soup","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Snack Foods","Starchy Foods","Meat","","","","","","","","","","","","","","",""
"Snack Foods","Hardware","Candy","Dairy","","","","","","","","","","","","","",""
